fuente,empresa,titulo,url
Bumeran,Fundición Chilca,Analista de sistema,https://www.bumeran.com.pe/empleos/analista-de-sistema-fundicion-chilca-1118115254.html
Bumeran,BUMERAN SELECTA,Analista Contable,https://www.bumeran.com.pe/empleos/analista-contable-bumeran-selecta-1118115041.html
Bumeran,VIETTEL PERU SAC,Analista de Fidelización,https://www.bumeran.com.pe/empleos/analista-de-fidelizacion-viettel-peru-sac-1118115272.html
Bumeran,Super Food Holding,Analista Comercial,https://www.bumeran.com.pe/empleos/analista-comercial-super-food-holding-1118115249.html
Bumeran,Grupo Flesan,Analista tributario,https://www.bumeran.com.pe/empleos/analista-tributario-grupo-flesan-1118115175.html
Bumeran,CV COVESA,Analista de Marketing,https://www.bumeran.com.pe/empleos/analista-de-marketing-cv-covesa-1118115166.html
Bumeran,Confidencial,Analista de compras,https://www.bumeran.com.pe/empleos/analista-de-compras-1118115118.html
Bumeran,Super Food Holding,Analista Financiero,https://www.bumeran.com.pe/empleos/analista-financiero-super-food-holding-1118115085.html
Bumeran,FARMACIAS PERUANAS,Analista de mailing,https://www.bumeran.com.pe/empleos/analista-de-mailing-farmacias-peruanas-1118115074.html
Bumeran,ASERTIVA CONSULTING,Analista de créditos,https://www.bumeran.com.pe/empleos/analista-de-creditos-asertiva-consulting-1118114940.html
Bumeran,Grupo Vanguard Internacional,Analista de Datos,https://www.bumeran.com.pe/empleos/analista-de-datos-grupo-vanguard-internacional-1118114919.html
Bumeran,Confidencial,Analista de cobranzas,https://www.bumeran.com.pe/empleos/analista-de-cobranzas-1118114804.html
Bumeran,INDRA PERU,Analista funcional,https://www.bumeran.com.pe/empleos/analista-funcional-indra-peru-1118114655.html
Bumeran,Energigas Sac,Analista de aplicaciones,https://www.bumeran.com.pe/empleos/analista-de-aplicaciones-energigas-sac-1118114473.html
Bumeran,ManpowerGroup Perú,Analista de Aplicaciones,https://www.bumeran.com.pe/empleos/analista-de-aplicaciones-manpowergroup-peru-1118114276.html
Bumeran,Confidencial,Analista Financiero,https://www.bumeran.com.pe/empleos/analista-financiero-1118114204.html
Bumeran,Hitss Perú,Analista de Ciberseguridad,https://www.bumeran.com.pe/empleos/analista-de-ciberseguridad-hitss-peru-1118114197.html
Bumeran,Gloria S.A.,Analista de Procesos,https://www.bumeran.com.pe/empleos/analista-de-procesos-gloria-s.a.-1118114185.html
Bumeran,COSTEÑO ALIMENTOS S.A.C.,Analista Comercial,https://www.bumeran.com.pe/empleos/analista-comercial-costeno-alimentos-s.a.c.-1118113993.html
Bumeran,IPESA S.A.C.,Analista Financiero,https://www.bumeran.com.pe/empleos/analista-financiero-ipesa-s.a.c.-1118113963.html
Bumeran,Híbrido,Analista de Aprendizaje,https://www.bumeran.com.pe/empleos/analista-de-aprendizaje-rimac-cia-de-seguros-y-reaseguros-s.a.-1118113726.html
Bumeran,GRUPO JLB S.A.,Analista Contable,https://www.bumeran.com.pe/empleos/analista-contable-grupo-jlb-s.a.-1118106060.html
Bumeran,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,Analista Funcional,https://www.bumeran.com.pe/empleos/analista-funcional-administracion-inmobiliaria-sociedad-anonima-cerra-1118071648.html
Bumeran,NOATUM LOGISTICS PERU INC S.R.L,Analista de Procura,https://www.bumeran.com.pe/empleos/analista-de-procura-noatum-logistics-peru-inc-s.r.l-1117971106.html
Bumeran,SOLUCIONES TI,Analista de Soporte TI,https://www.bumeran.com.pe/empleos/analista-de-soporte-ti-soluciones-ti-1118115292.html
Bumeran,GOURMET 117,COMPRAS ANALISTA Y ASISTENTE,https://www.bumeran.com.pe/empleos/compras-analista-y-asistente-gourmet-117-1118113724.html
Bumeran,CANTON BUSINESS S.A.C.,ANALISTA DE MARKETING DIGITAL,https://www.bumeran.com.pe/empleos/analista-de-marketing-digital-canton-business-s.a.c.-1118115329.html
Bumeran,Hitss Perú,Analista funcional SAP,https://www.bumeran.com.pe/empleos/analista-funcional-sap-hitss-peru-1118115227.html
Bumeran,SOCIEDAD MINERA CERRO VERDE S.A.A.,Analista Gestión Social,https://www.bumeran.com.pe/empleos/analista-gestion-social-sociedad-minera-cerro-verde-s.a.a.-1118115164.html
Bumeran,Comsatel Perú S.A.C,Analista Funcional Senior,https://www.bumeran.com.pe/empleos/analista-funcional-senior-comsatel-peru-s.a.c-1118115005.html
Bumeran,COMPAÑIA MECANICA Y CONMINUCION SAC,Analista Ssoma - Chilca,https://www.bumeran.com.pe/empleos/analista-ssoma-chilca-compania-mecanica-y-conminucion-sac-1118114988.html
Bumeran,HAUG S.A.,ANALISTA DE REMUNERACIONES - LURIN,https://www.bumeran.com.pe/empleos/analista-de-remuneraciones-lurin-haug-s.a.-1118114964.html
Bumeran,TRBA SAC,Analista de Compras - Industrial,https://www.bumeran.com.pe/empleos/analista-de-compras-industrial-trba-sac-1118114937.html
Bumeran,Pluz Perú,Analista de medición Electrica,https://www.bumeran.com.pe/empleos/analista-de-medicion-electrica-pluz-peru-1118114522.html
Bumeran,ARTESCO,ANALISTA DE ADMINISTRACIÓN DE PERSONAL,https://www.bumeran.com.pe/empleos/analista-de-administracion-de-personal-artesco-1118114165.html
Bumeran,VIETTEL PERU SAC,Analista de Datos Junior,https://www.bumeran.com.pe/empleos/analista-de-datos-junior-viettel-peru-sac-1118115293.html
Bumeran,MOLINO CHICLAYO,ANALISTA DE CONTROL DE CALIDAD,https://www.bumeran.com.pe/empleos/analista-de-control-de-calidad-molino-chiclayo-1118111072.html
Bumeran,TOTAL SERVICIOS FINANCIEROS,Analista de Admisión de Riesgos / Leasing,https://www.bumeran.com.pe/empleos/analista-de-admision-de-riesgos-leasing-total-servicios-financieros-1118114703.html
Bumeran,TECSUP,Analista de Calidad e Innovación Educativa,https://www.bumeran.com.pe/empleos/analista-de-calidad-e-innovacion-educativa-tecsup-1118114640.html
Bumeran,YOBEL,Analista de Costos y Presupuesto - Surco,https://www.bumeran.com.pe/empleos/analista-de-costos-y-presupuesto-surco-yobel-1118113614.html
Bumeran,UNIVERSIDAD NORBERT WIENER,Analista Jr. de Indicadores y Dashboards,https://www.bumeran.com.pe/empleos/analista-jr.-de-indicadores-y-dashboards-universidad-norbert-wiener-1118115341.html
Bumeran,Confidencial,ANALISTA DE MARKETING- Rubro Gastronomico,https://www.bumeran.com.pe/empleos/analista-de-marketing-rubro-gastronomico-1118115301.html
Bumeran,Caja Arequipa,Escuela de Analista de créditos - Juliaca,https://www.bumeran.com.pe/empleos/escuela-de-analista-de-creditos-juliaca-caja-arequipa-1118115286.html
Bumeran,Caja Arequipa,Escuela de Analista de créditos - Huancané,https://www.bumeran.com.pe/empleos/escuela-de-analista-de-creditos-huancane-caja-arequipa-1118115285.html
Bumeran,Caja Arequipa,Escuela de Analista de créditos - Yunguyo,https://www.bumeran.com.pe/empleos/escuela-de-analista-de-creditos-yunguyo-caja-arequipa-1118115282.html
Bumeran,VIETTEL PERU SAC,Analista Business Data Junior,https://www.bumeran.com.pe/empleos/analista-business-data-junior-viettel-peru-sac-1118115277.html
Bumeran,ABRIL GRUPO INMOBILIARIO,Analista de Datos de Marketing Digital,https://www.bumeran.com.pe/empleos/analista-de-datos-de-marketing-digital-abril-grupo-inmobiliario-1118115268.html
