fuente,empresa,titulo,url
Bumeran,Premiere Consulting S.A.C.,Analista Senior de Recursos Humanos,https://www.bumeran.com.pe/empleos/analista-senior-de-recursos-humanos-premiere-consulting-s.a.c.-1118115214.html
Bumeran,Caja Trujillo,ANALISTA DE BANCA PERSONAS- TRUJILLO,https://www.bumeran.com.pe/empleos/analista-de-banca-personas-trujillo-caja-trujillo-1118115203.html
Bumeran,RANSA COMERCIAL S.A.C,Analista de Gestión de Personas (Chancay),https://www.bumeran.com.pe/empleos/analista-de-gestion-de-personas-chancay-ransa-comercial-s.a.c-1118115146.html
Bumeran,Caja Ica,ANALISTA DE GOBERNANZA Y METODOLOGÍA - PMO,https://www.bumeran.com.pe/empleos/analista-de-gobernanza-y-metodologia-pmo-caja-ica-1118115136.html
Bumeran,Confidencial,ANALISTA SR DE REVENUE ASSURANCE,https://www.bumeran.com.pe/empleos/analista-sr-de-revenue-assurance-1118114999.html
Bumeran,Caja Arequipa,Escuela de Analista de créditos - Pedregal,https://www.bumeran.com.pe/empleos/escuela-de-analista-de-creditos-pedregal-caja-arequipa-1118114970.html
Bumeran,Grupo Euromotors,Analista de Marketing Digital Volkswagen,https://www.bumeran.com.pe/empleos/analista-de-marketing-digital-volkswagen-grupo-euromotors-1118114525.html
Bumeran,UNIVERSIDAD CIENTIFICA DEL SUR S.A.C.,Analista de laboratorio - Sede Villa,https://www.bumeran.com.pe/empleos/analista-de-laboratorio-sede-villa-universidad-cientifica-del-sur-s.a.c.-1118114427.html
Bumeran,UNIVERSIDAD TECNOLOGICA DEL PERU,Analista de Proyectos Comerciales- Híbrido,https://www.bumeran.com.pe/empleos/analista-de-proyectos-comerciales-hibrido-universidad-tecnologica-del-peru-1118114334.html
Bumeran,Universidad Continental SAC,Analista Senior de Reclutamiento y Selección,https://www.bumeran.com.pe/empleos/analista-senior-de-reclutamiento-y-seleccion-universidad-continental-sac-1118114312.html
Bumeran,UNIVERSIDAD TECNOLOGICA DEL PERU,Analista de Inteligencia Comercial - Híbrido,https://www.bumeran.com.pe/empleos/analista-de-inteligencia-comercial-hibrido-universidad-tecnologica-del-peru-1118114237.html
Bumeran,Caja Arequipa,Analista Sénior De Cobranza Legal,https://www.bumeran.com.pe/empleos/analista-senior-de-cobranza-legal-caja-arequipa-1118114201.html
Bumeran,Confidencial,Analista Logístico - Punta Hermosa,https://www.bumeran.com.pe/empleos/analista-logistico-punta-hermosa-1118114089.html
Bumeran,SIGLO BPO,Analista Contable - San Isidro,https://www.bumeran.com.pe/empleos/analista-contable-san-isidro-siglo-bpo-1118111126.html
Bumeran,EFICAXX INMOBILIARIA,Analista Comercial Inmobiliario (Junior),https://www.bumeran.com.pe/empleos/analista-comercial-inmobiliario-junior-eficaxx-inmobiliaria-1118110298.html
Bumeran,Confidencial,ANALISTA SR. DE OPERACIONES - RUBRO FIDUCIARIO,https://www.bumeran.com.pe/empleos/analista-sr.-de-operaciones-rubro-fiduciario-1118115328.html
Bumeran,Confidencial,Analista Financiero de Alta Gerencia General,https://www.bumeran.com.pe/empleos/analista-financiero-de-alta-gerencia-general-1118115245.html
Bumeran,MOLITALIA S.A.,Analista de Créditos y Cobranzas - Región Norte,https://www.bumeran.com.pe/empleos/analista-de-creditos-y-cobranzas-region-norte-molitalia-s.a.-1118115179.html
Bumeran,COMPARTAMOS BANCO,Analista Sr. de CRM y vinculación de clientes,https://www.bumeran.com.pe/empleos/analista-sr.-de-crm-y-vinculacion-de-clientes-compartamos-banco-1118115171.html
Bumeran,Bureau Veritas del Peru SA,Analista Junior - Laboratorio medio ambiente,https://www.bumeran.com.pe/empleos/analista-junior-laboratorio-medio-ambiente-bureau-veritas-del-peru-sa-1118115168.html
Bumeran,Caja Ica,ANALISTA DE FORMULACIÓN Y SEGUIMIENTO DE BENEFICIOS - PMO,https://www.bumeran.com.pe/empleos/analista-de-formulacion-y-seguimiento-de-beneficios-pmo-caja-ica-1118115135.html
Bumeran,Caja Ica,ANALISTA DE SEGUIMIENTO Y CONTROL - PMO - ICA,https://www.bumeran.com.pe/empleos/analista-de-seguimiento-y-control-pmo-ica-caja-ica-1118115122.html
Bumeran,Hitss Perú,Analista Programador Java Junior (Presencial),https://www.bumeran.com.pe/empleos/analista-programador-java-junior-presencial-hitss-peru-1118114453.html
Bumeran,Caja Arequipa,Escuela de Analista de créditos - Arequipa Centro,https://www.bumeran.com.pe/empleos/escuela-de-analista-de-creditos-arequipa-centro-caja-arequipa-1118114351.html
Bumeran,Caja Arequipa,Analista de créditos con experiencia - Ag. Oxapampa,https://www.bumeran.com.pe/empleos/analista-de-creditos-con-experiencia-ag.-oxapampa-caja-arequipa-1118114303.html
Bumeran,COMPARTAMOS BANCO,Analista Certificación/Concliaciones BIM Senior,https://www.bumeran.com.pe/empleos/analista-certificacion-concliaciones-bim-senior-compartamos-banco-1118114141.html
Bumeran,ADECCO,Analista de Marketing / Sector Inmobiliaria/ Miraflores,https://www.bumeran.com.pe/empleos/analista-de-marketing-sector-inmobiliaria-miraflores-adecco-1118113931.html
Bumeran,CV+,Analista Contable - Sólida experiencia NIIF,https://www.bumeran.com.pe/empleos/analista-contable-solida-experiencia-niif-cv-1118114182.html
Bumeran,NTT DATA,Analista de Automatizaciones Jr. Presencial L - V,https://www.bumeran.com.pe/empleos/analista-de-automatizaciones-jr.-presencial-l-v-ntt-data-1118115334.html
Bumeran,ADECCO,Analista/Especialista en Capacitación y Desarrollo (Recursos Humanos),https://www.bumeran.com.pe/empleos/analista-especialista-en-capacitacion-y-desarrollo-recursos-humanos-adecco-1118114756.html
Bumeran,SANNA,Analista de Infraestructura TI - SANNA Clínica San Borja,https://www.bumeran.com.pe/empleos/analista-de-infraestructura-ti-sanna-clinica-san-borja-sanna-1118114398.html
Bumeran,Confidencial,ANALISTA DE COMPRAS DE BIENES Y SERVICIOS / SECTOR ELECTRICO,https://www.bumeran.com.pe/empleos/analista-de-compras-de-bienes-y-servicios-sector-electrico-1118114266.html
Bumeran,Caja Arequipa,Analista Sénior De Cobranza Legal - Sede Tacna,https://www.bumeran.com.pe/empleos/analista-senior-de-cobranza-legal-sede-tacna-caja-arequipa-1118114200.html
Bumeran,Grupo Tawa,ANALISTA DE SOPORTE INFORMÁTICO / INGLÉS AVANZADO / SAN ISIDRO,https://www.bumeran.com.pe/empleos/analista-de-soporte-informatico-ingles-avanzado-san-isidro-grupo-tawa-1118115142.html
Bumeran,KONECTA,ANALISTA DE CALIDAD BILINGÜE - CALL CENTER LIMA CENTRO,https://www.bumeran.com.pe/empleos/analista-de-calidad-bilingue-call-center-lima-centro-konecta-1118098848.html
Computrabajo,Inversiones Fisa,Analista de Compras de Proyectos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#6D4B901F7BC0170961373E686DCF3405
Computrabajo,,Analista de Costos de alimentos y bebidas,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#49B5237EAD035A0461373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Ag. Azangaro,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#96C2F7709EFD6D8161373E686DCF3405
Computrabajo,Prosegur,Analista administrativo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#C8A98F4843D8D21461373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Zona Juliaca,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#2AC3C72F32C6608C61373E686DCF3405
Computrabajo,Casevip,Analista BI / Excel avanzado y Power BI / Rubro Seguridad Privada,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#E008DD00064AF00B61373E686DCF3405
Computrabajo,Lavoro Perú,Analista de gestión,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#5482E4055A61708861373E686DCF3405
Computrabajo,,Analista de Tecnologías de la Información,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#287C7DA5855D1EDC61373E686DCF3405
Computrabajo,Overall Strategy,Urgente / Analista de Reclutamiento y Selección,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#2DCF087C3775F52E61373E686DCF3405
Computrabajo,CAC SANTO DOMINGO DE GUZMAN L,Analista de crédito Espinar,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#459787A7797B7EBE61373E686DCF3405
Computrabajo,Textiles Camones,Analista Jr. de Mantenimiento,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#DE052FA2C961AE1761373E686DCF3405
Computrabajo,,Analista de tesorería,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#16812F472AF9B8B361373E686DCF3405
Computrabajo,Molitalia,Analista de Créditos y Cobranzas,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#37F3B2FBBEE44A0361373E686DCF3405
Computrabajo,XTQ GROUP S.A.C.,Analista de Procesos ERP Odoo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#E00EEC76C7FFDC9161373E686DCF3405
Computrabajo,Servicios Generales y Embalajes S.A.C.,Analista de inventarios,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#88F5D61E6F1A902261373E686DCF3405
Computrabajo,,Analista de Nómina y Adm. de Personal,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3D4903BF49EADC6761373E686DCF3405
Computrabajo,Grupo Intercorp,Analista financiero,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#FCA79B9EA909543161373E686DCF3405
Computrabajo,Adecco Perú S.A.,Analista de marketing,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#DCB662692677806C61373E686DCF3405
Computrabajo,Ransa Comercial S.A.,Analista Junior de Transporte / Callao,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#EE55F8150307870B61373E686DCF3405
Computrabajo,RGIS Peru SRL,Analista comercial,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#C00378C081CD72F161373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / La Joya,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#CCD8837AB7E04FF761373E686DCF3405
Computrabajo,TRANSVIAL LIMA SAC,Analista de pricing,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#046D11D38BB8B8CB61373E686DCF3405
Computrabajo,Muebles Huarcaya,Analista de presupuesto,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#8166559E833ABFA361373E686DCF3405
Computrabajo,GEMIN ASSOCIATES,Analista de Reclutamiento y Seleccion (Temporal 3 meses),https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#1306CF18661F693861373E686DCF3405
Computrabajo,RECSA PERÚ,Analista De Soporte Técnico,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#DCF6C14C923E2BB461373E686DCF3405
Computrabajo,iSudamerica,Analista de Almacén / Distribución,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#722F2AD3901F164861373E686DCF3405
Computrabajo,TRBA SAC,Analista de compras,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#AB43652DBA52A2B061373E686DCF3405
Computrabajo,Laive S.A.,Analista Gestion Humana,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#82BE88FA99940DD261373E686DCF3405
Computrabajo,IQ Farma,Analista de asuntos regulatorios Químico Farmacéutico,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#EF2C9C3D41E5729061373E686DCF3405
Computrabajo,,Analista Power BI / San Isidro,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#4965089C300340AB61373E686DCF3405
Computrabajo,Zedina Alimentos S.A.C.,Analista de compras,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#5B8134175595873A61373E686DCF3405
Computrabajo,,Analista de Atención y Reclamos / Presencial Sede UPC / Sede Monterrico Surco o San Isidro,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#BDC1A1C64B21D5C461373E686DCF3405
Computrabajo,Damasold Sac,Analista jr. Contable,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#D60EEDD4E34D8BF661373E686DCF3405
Computrabajo,C & A CONSULTORA S.A.C.,Analista de Recursos Rumanos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#34E57D87CF74AF2761373E686DCF3405
Computrabajo,,Analista de Atención y Reclamos / Presencial Sede UPC / Sede Monterrico Surco o Chorrillos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3AEE9DC69E394C0561373E686DCF3405
Computrabajo,Grupo Vanguard Internacional,Analista de Servicios Generales,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3B8173F2A30F1D0A61373E686DCF3405
Computrabajo,Adecco Perú S.A.,Analista de Selección Perfiles individuales (Piura),https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#E8D75B011EF6E8D461373E686DCF3405
Computrabajo,Geincos,Analista de Planillas,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#1E1F45DF4590C74261373E686DCF3405
Computrabajo,Consorcio Educativo San Pio X,Business Analyst Junior,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#5D69982C6443DA5761373E686DCF3405
Computrabajo,Ambar Lounge,Analista de compras / Purchaser/Temporal,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#7EA315DCCA308C3E61373E686DCF3405
Computrabajo,Compartamos Banco,(Lima Norte) Analistas de crédito Grupal,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#58386B7A57AC66BE61373E686DCF3405
Computrabajo,ALMACENES SANTA CLARA,Analista Lead / Call Center / Sector Automotor,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#BDF9CD79B14C0A4D61373E686DCF3405
Computrabajo,CASURSA,Analista de finanzas,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#C30995E62056EDC461373E686DCF3405
Computrabajo,Overall Strategy,Analista BI Máster Comercial/Trade MKT/Marca Líder en Consumo Masivo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#83566C976B6D8C1A61373E686DCF3405
Computrabajo,,Analista Funcional,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#10BE1717156BC42A61373E686DCF3405
Computrabajo,Arch Latam,Analista de Regulación Sanitaria / Industria Farmacéutica,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#BDC2C4A70110528761373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Chivay,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#AEBBD5027B7D67EB61373E686DCF3405
Computrabajo,ICH CORP S.A.,Analista de Planilla,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#B633BF58244BB59561373E686DCF3405
Computrabajo,COLEGIO DE PSICOLOGOS DEL PERU,Contador Analista,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#06D32E86C853F58261373E686DCF3405
Computrabajo,TALENT HUNTERS BPO,Analista de Operaciones c/ experiencia en rubro de servicios,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#FD3BA6B38FD71BDD61373E686DCF3405
Computrabajo,Exact SAC,Analista de Control Interno,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#A55D347F8186583361373E686DCF3405
Computrabajo,CALOX VITAPHARMA SAC,Analistas de control de calidad,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#898660CE2129A57261373E686DCF3405
Computrabajo,CABLE VISIÓN PERÚ,Analista de Energía Datacenters,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#A3186AFC551ECD0461373E686DCF3405
Computrabajo,ALS LS PERU S.A.C.,Analistas Conductor de Monitoreo Ambiental / Licencia A2A y/o A2B,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#D6C1B87566A9E8B161373E686DCF3405
Computrabajo,UPAO,Analista de productos académicos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#34EA3C0C41F889FB61373E686DCF3405
Computrabajo,UPAO,Analista de productos no académicos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#64BF07910AF6330561373E686DCF3405
Computrabajo,PROTECCION VIP,Analista contable,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#5AF1889B9E8F4BE561373E686DCF3405
Computrabajo,Adecco Perú S.A.,Analista de Validaciones / Control de Producción,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#85EF9442D81CFB2A61373E686DCF3405
Computrabajo,Procesadora Peru Sac,Analista de Planillas,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#6B30919D3B31F1A261373E686DCF3405
Computrabajo,Ablimatex Export SAC,Analista de Fichas Textil,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#6ED09E3B39C582F761373E686DCF3405
Computrabajo,S.G NATCLAR SAC,Analista Jr de Contabilidad/San Isidro,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#8DB6FA8A2C8664B761373E686DCF3405
Computrabajo,MEYTEN,Analista de Selección Masivos,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#A49C52D0B3177CDB61373E686DCF3405
Computrabajo,SANNA,Analista Comercial / Sanna Clínica El Golf,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#D780F62B2055FB2261373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Cocachacra,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3B4872354A7F8C5C61373E686DCF3405
Computrabajo,Compartamos Banco,Analista de Crédito grupal / SMP,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#767475E942FB4B5661373E686DCF3405
Computrabajo,,Analista comercial de visita médica/Lurín,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#AFB9B594C16C966961373E686DCF3405
Computrabajo,Ascensores OTIS,Analista de Procesos y Gestión de Calidad,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#E3019D297AEA363261373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Mollendo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#2B8669AD131AB74661373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Pedregal,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#B42629EB10C92D2561373E686DCF3405
Computrabajo,,Analista de Gestión de Calidad,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#514017B68BE43D4E61373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Moquegua,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#29003A5CA90DB38C61373E686DCF3405
Computrabajo,,Analista de Reclutamiento y Acreditación,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#2FA4E28FF03344B861373E686DCF3405
Computrabajo,,Analista Señior de Contabilidad,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#4550C85CB252353F61373E686DCF3405
Computrabajo,COOPAC SANTA CATALINA LTDA 103,Analista de Créditos Ilo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3CA03EB7457F977661373E686DCF3405
Computrabajo,Coopac Kori,Analista de Credito Grupal,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#C6CF0D7D4F5BE66961373E686DCF3405
Computrabajo,MARKETING ALTERNO,Analista de selección de personal // retail // outsourcing,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#F3517F6C94121B0061373E686DCF3405
Computrabajo,,Analista de Créditos para Cooperativa en Arequipa,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#7BD132DC428F962B61373E686DCF3405
Computrabajo,CAJA AREQUIPA,Escuela de Analista de créditos / Zona Juliaca,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#B1CD1E2320D7422761373E686DCF3405
Computrabajo,Cantol S.A.C.,Inspector de Calidad,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#5C123D5ACFCB460561373E686DCF3405
Computrabajo,MULTIVAC PERÚ,Practicante Contable,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#BA203778970C4DF061373E686DCF3405
Computrabajo,MARKETING ALTERNO,Coordinadora de cuenta con experiencia en outsourcing //canal moderno // Consumo masivo,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3754C46FE9224B2661373E686DCF3405
Computrabajo,Manpower,Asesor(a) de Crédito Individual Senior/ Tumbes/ Mibanco,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#37702A05BC57BE2D61373E686DCF3405
Computrabajo,CGM RENTAL S.A.C.,Responsable/Coordinador de Planificación Financiera / Lurín,https://pe.computrabajo.com/trabajo-de-analista?pubdate=1#3439F4335256A26561373E686DCF3405
